No.,Player,Position,For,Against,Result,Time,Date,Time
1,Huw Richards,Lock, Wales, New Zealand,6–49,77',14-Jun-87,77
2,David Codey,Flanker, Australia, Wales,21–22,5',18-Jun-87,5
3,Pedro Sporleder,Lock, Argentina, Samoa,12–35,65',13-Oct-91,65
4,Mat Keenan,Lock, Samoa, Argentina,35–12,65',13-Oct-91,65
5,Feleti Mahoni,Flanker, Tonga, France,10–38,68',26-May-95,68
6,Gareth Rees,Fly-half (captain), Canada, South Africa,0–20,70',3-Jun-95,70
7,Rod Snow,Prop, Canada, South Africa,0–20,70',3-Jun-95,70
8,James Dalton,Hooker, South Africa, Canada,20–0,70',3-Jun-95,70
9,Marika Vunibaka,Wing, Fiji, Canada,38–22,80',9-Oct-99,80
10,Dan Baugh,Flanker, Canada, Namibia,72–11,48',14-Oct-99,48
11,Ngalu Taufo'ou,Prop, Tonga, England,10–101,35',15-Oct-99,35
12,Brendan Venter,Centre, South Africa, Uruguay,39–3,40',15-Oct-99,40
13,Hale T-Pole,Flanker, Tonga, Samoa,19–15,71',16-Sep-07,71
14,Jacques Nieuwenhuis,Number 8, Namibia, France,10–87,19',16-Sep-07,19
15,Paul Williams,Full-back, Samoa, South Africa,5–13,70',30-Sep-11,70
16,Sam Warburton,Flanker (captain), Wales, France,8–9,17',15-Oct-11,17
17,Agustín Ormaechea,Scrum-half, Uruguay, Fiji,15–47,66',6-Oct-15,66
18,John Quill,Flanker, United States, England,7–45,70',26-Sep-19,70
19,Facundo Gattas,Prop, Uruguay, Georgia,7–33,78',29-Sep-19,78
20,Ed Fidow,Wing, Samoa, Scotland,0–34,75',30-Sep-19,75
21,Andrea Lovotti,Prop, Italy, South Africa,3–49,43',4-Oct-19,43
22,Tomas Lavanini,Lock, Argentina, England,10–39,17',5-Oct-19,17
23,Josh Larsen,Lock, Canada, South Africa,7–66,36',8-Oct-19,36
24,Bundee Aki,Centre, Ireland, Samoa,47–5,29',12-Oct-19,29
25,Sebastien Vahaamahina,Lock, France, Wales,19–20,50',20-Oct-19,50